State_Name,Position_Name,Age
Abia State,Governor,58
Adamawa State,Governor,55
Akwa Ibom State ,Governor,56
Anambra State,Governor,62
Bauchi State,Governor,64
Bayelsa State,Governor,63
Benue State,Governor,61
Borno,Governor,53
Cross River ,Governor,54
Delta State,Governor,63
Ebonyi,Governor,58
Edo State,Governor,65
Ekiti State,Governor,57
Enugu State,Governor,58
Gombe State,Governor,61
Imo State,Governor,64
Jigawa State,Governor,60
Kaduna State,Governor,62
Kano State,Governor,73
Katsina State ,Governor,72
Kebbi State ,Governor,61
Kogi State,Governor,47
Kwara State,Governor,62
Lagos State,Governor,57
Nasarawa State,Governor,63
Niger State,Governor,55
Ogun State,Governor,62
Ondo State,Governor,66
Osun State,Governor,67
Oyo State ,Governor,54
Plateau State,Governor,59
Rivers State,Governor,58
Sokoto State,Governor,56
Taraba State,Governor,68
Yobe State,Governor,55
Zamfara State,Governor,60
FCT Abuja,Governor,63
Abia State,Deputy_Governor,60
Adamawa State,Deputy_Governor,
Akwa Ibom State ,Deputy_Governor,81
Anambra State,Deputy_Governor,
Bauchi State,Deputy_Governor,63
Bayelsa State,Deputy_Governor,57
Benue State,Deputy_Governor,73
Borno,Deputy_Governor,46
Cross River ,Deputy_Governor,71
Delta State,Deputy_Governor,54
Ebonyi,Deputy_Governor,52
Edo State,Deputy_Governor,53
Ekiti State,Deputy_Governor,78
Enugu State,Deputy_Governor,55
Gombe State,Deputy_Governor,67
Imo State,Deputy_Governor,75
Jigawa State,Deputy_Governor,58
Kaduna State,Deputy_Governor,56
Kano State,Deputy_Governor,55
Katsina State ,Deputy_Governor,68
Kebbi State ,Deputy_Governor,73
Kogi State,Deputy_Governor,48
Kwara State,Deputy_Governor,59
Lagos State,Deputy_Governor,58
Nasarawa State,Deputy_Governor,62
Niger State,Deputy_Governor,63
Ogun State,Deputy_Governor,56
Ondo State,Deputy_Governor,57
Osun State,Deputy_Governor,57
Oyo State ,Deputy_Governor,62
Plateau State,Deputy_Governor,71
Rivers State,Deputy_Governor,69
Sokoto State,Deputy_Governor,52
Taraba State,Deputy_Governor,49
Yobe State,Deputy_Governor,62
Zamfara State,Deputy_Governor,62
FCT Abuja,Deputy_Governor,52
